,zip_code,CBSA Title,MSA_central_outlying,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt
375,37922,"Knoxville, TN",Central,3140.0,284.0,668.0,2188.0,344.0,92.0,240.0,12.0,16.0,4.0,12.0,,14.0,8.0,4.0,2.0,52.0,8.0,40.0,4.0,320220637.0,19704620.0,51115578.0,249400440.0,19800054.0,4444624.0,13503555.0,1851876.0,256472.0,48330.0,208142.0,,360104.0,214622.0,95532.0,49950.0,7284696.0,35278.0,6327804.0,921616.0
376,37923,"Knoxville, TN",Central,2068.0,200.0,438.0,1430.0,190.0,58.0,124.0,8.0,56.0,26.0,30.0,,20.0,10.0,10.0,,24.0,16.0,8.0,,163010878.0,13402414.0,23732060.0,125876406.0,10279023.0,3475382.0,4913289.0,1890354.0,887048.0,400682.0,486366.0,,193446.0,56134.0,137312.0,,619208.0,380772.0,238436.0,
377,37924,"Knoxville, TN",Central,434.0,36.0,102.0,296.0,52.0,20.0,30.0,2.0,16.0,6.0,10.0,,,,,,14.0,,10.0,4.0,32592828.0,629282.0,7915240.0,24048308.0,1483919.0,425684.0,852834.0,205400.0,247694.0,116658.0,131036.0,,,,,,884348.0,,427020.0,457328.0
378,37931,"Knoxville, TN",Central,926.0,104.0,222.0,600.0,142.0,56.0,86.0,,30.0,16.0,14.0,,8.0,6.0,2.0,,8.0,,8.0,,61316934.0,5321552.0,15557015.0,40438366.0,12443012.0,4151925.0,8291087.0,,612702.0,291234.0,321468.0,,219840.0,119840.0,100000.0,,17928.0,,17928.0,
379,37932,"Knoxville, TN",Central,1534.0,126.0,404.0,1004.0,158.0,40.0,110.0,8.0,8.0,2.0,6.0,,36.0,14.0,22.0,,24.0,6.0,18.0,,198566404.0,13125301.0,50999676.0,134441428.0,9829129.0,1753178.0,7392190.0,683762.0,107436.0,31250.0,76186.0,,1014224.0,389464.0,624760.0,,782214.0,200822.0,581390.0,
380,37934,"Knoxville, TN",Central,1762.0,184.0,382.0,1196.0,234.0,88.0,146.0,,10.0,2.0,8.0,,6.0,4.0,2.0,,30.0,18.0,10.0,2.0,122025697.0,7655412.0,31106612.0,83263674.0,16192792.0,3315605.0,12877189.0,,165238.0,29000.0,136238.0,,286276.0,32978.0,253298.0,,696661.0,437850.0,217146.0,41666.0
381,37938,"Knoxville, TN",Central,550.0,36.0,112.0,402.0,74.0,20.0,54.0,,2.0,,2.0,,8.0,4.0,4.0,,2.0,,2.0,,27840922.0,307580.0,8309127.0,19224214.0,3973880.0,182384.0,3791496.0,,92000.0,,92000.0,,960290.0,9290.0,951000.0,,72800.0,,72800.0,
382,38001,"Jackson, TN",Outlying,392.0,58.0,140.0,194.0,76.0,22.0,54.0,,10.0,4.0,6.0,,6.0,4.0,2.0,,,,,,10356876.0,1075160.0,3571212.0,5710502.0,1353580.0,288464.0,1065116.0,,164498.0,83328.0,81170.0,,84500.0,62500.0,22000.0,,,,,
383,38002,"Memphis, TN-MS-AR",Central,2402.0,348.0,584.0,1470.0,256.0,80.0,170.0,6.0,290.0,142.0,146.0,2.0,36.0,8.0,24.0,4.0,64.0,32.0,32.0,,78988832.0,10407255.0,20291554.0,48290022.0,13030011.0,4991467.0,7677328.0,361216.0,5558189.0,2825748.0,2707441.0,25000.0,825456.0,109540.0,529656.0,186260.0,1331376.0,439022.0,892352.0,
384,38004,"Memphis, TN-MS-AR",Outlying,508.0,92.0,112.0,304.0,54.0,18.0,36.0,,54.0,30.0,22.0,2.0,,,,,4.0,,4.0,,16384182.0,2844250.0,2699451.0,10840482.0,2352684.0,1333060.0,1019624.0,,1153164.0,486918.0,642294.0,23952.0,,,,,176466.0,,176466.0,
385,38006,"Jackson, TN",Outlying,280.0,22.0,64.0,194.0,18.0,4.0,14.0,,6.0,4.0,2.0,,2.0,,2.0,,,,,,15022891.0,216370.0,2453449.0,12353072.0,594642.0,22222.0,572419.0,,61794.0,22630.0,39164.0,,3312.0,,3312.0,,,,,
386,38007,,Outlying,10.0,,2.0,8.0,2.0,,2.0,,,,,,,,,,,,,,221198.0,,41666.0,179532.0,41666.0,,41666.0,,,,,,,,,,,,,
387,38008,,Outlying,968.0,272.0,262.0,434.0,50.0,8.0,40.0,2.0,266.0,164.0,102.0,,12.0,10.0,2.0,,6.0,2.0,4.0,,25160335.0,7307986.0,7214704.0,10637646.0,1280531.0,36334.0,1218113.0,26084.0,4650422.0,2915506.0,1734916.0,,191178.0,157848.0,33330.0,,171554.0,41666.0,129888.0,
388,38011,"Memphis, TN-MS-AR",Outlying,450.0,70.0,134.0,246.0,50.0,26.0,24.0,,48.0,30.0,16.0,2.0,4.0,,4.0,,,,,,14356198.0,4279750.0,2008966.0,8067482.0,593047.0,250024.0,343023.0,,766696.0,517382.0,207650.0,41664.0,21050.0,,21050.0,,,,,
